,location,total_sqft,bath,balcony,price,BHK,price_per_sqft
0,Electronic City Phase II,1056.0,2.0,1.0,39.07,2.0,3699.81
2,Uttarahalli,1440.0,2.0,3.0,62.0,3.0,4305.56
3,Lingadheeranahalli,1521.0,3.0,1.0,95.0,3.0,6245.89
4,Kothanur,1200.0,2.0,1.0,51.0,2.0,4250.0
5,Whitefield,1170.0,2.0,1.0,38.0,2.0,3247.86
8,Marathahalli,1310.0,3.0,1.0,63.25,3.0,4828.24
10,Whitefield,1800.0,2.0,2.0,70.0,3.0,3888.89
12,7th Phase JP Nagar,1000.0,2.0,1.0,38.0,2.0,3800.0
13,Gottigere,1100.0,2.0,2.0,40.0,2.0,3636.36
14,Sarjapur,2250.0,3.0,2.0,148.0,3.0,6577.78
15,Mysore Road,1175.0,2.0,2.0,73.5,2.0,6255.32
16,Bisuvanahalli,1180.0,3.0,2.0,48.0,3.0,4067.8
17,Raja Rajeshwari Nagar,1540.0,3.0,3.0,60.0,3.0,3896.1
19,Other,1100.0,2.0,2.0,48.0,2.0,4363.64
20,Kengeri,600.0,1.0,1.0,15.0,1.0,2500.0
21,Binny Pete,1755.0,3.0,1.0,122.0,3.0,6951.57
23,Bellandur,1767.0,3.0,1.0,103.0,3.0,5829.09
24,Thanisandra,510.0,1.0,0.0,25.25,1.0,4950.98
25,Other,1250.0,3.0,2.0,56.0,3.0,4480.0
26,Electronic City,660.0,1.0,1.0,23.1,2.0,3500.0
27,Whitefield,1610.0,3.0,2.0,81.0,3.0,5031.06
28,Ramagondanahalli,1151.0,2.0,2.0,48.77,2.0,4237.19
29,Electronic City,1025.0,2.0,1.0,47.0,3.0,4585.37
30,Yelahanka,2100.0,4.0,0.0,186.0,4.0,8857.14
31,Bisuvanahalli,1075.0,2.0,1.0,35.0,3.0,3255.81
32,Hebbal,1760.0,2.0,2.0,123.0,3.0,6988.64
33,Raja Rajeshwari Nagar,1693.0,3.0,3.0,57.39,3.0,3389.84
34,Kasturi Nagar,1925.0,3.0,2.0,125.0,3.0,6493.51
35,Kanakpura Road,700.0,2.0,1.0,36.0,2.0,5142.86
36,Electronics City Phase 1,1070.0,2.0,1.0,45.5,2.0,4252.34
37,Kundalahalli,1724.0,3.0,2.0,125.0,3.0,7250.58
38,Chikkalasandra,1290.0,2.0,2.0,56.12,3.0,4350.39
39,Uttarahalli,1143.0,2.0,2.0,45.0,2.0,3937.01
40,Murugeshpalya,1296.0,2.0,2.0,81.0,2.0,6250.0
41,Sarjapur  Road,1254.0,3.0,2.0,38.0,3.0,3030.3
42,Other,600.0,1.0,0.0,38.0,1.0,6333.33
43,Yelahanka,660.0,1.0,0.0,48.0,1.0,7272.73
44,Kanakpura Road,1330.74,2.0,2.0,91.79,2.0,6897.67
46,Doddathoguru,970.0,2.0,0.0,33.0,2.0,3402.06
47,Whitefield,1459.0,2.0,1.0,94.82,2.0,6498.97
49,Other,869.0,2.0,1.0,36.0,2.0,4142.69
50,Other,1270.0,2.0,1.0,50.0,2.0,3937.01
51,Bhoganhalli,1670.0,3.0,1.0,99.0,3.0,5928.14
52,Whitefield,2010.0,3.0,2.0,91.0,3.0,4527.36
53,Lakshminarayana Pura,1185.0,2.0,2.0,75.0,2.0,6329.11
54,Yelahanka,1600.0,2.0,3.0,75.0,3.0,4687.5
55,Begur Road,1200.0,2.0,2.0,44.0,2.0,3666.67
59,Other,840.0,2.0,2.0,45.0,2.0,5357.14
61,Other,845.0,2.0,1.0,55.0,2.0,6508.88
63,Varthur,1160.0,2.0,2.0,44.0,2.0,3793.1
65,Doddathoguru,1100.0,2.0,1.0,62.0,2.0,5636.36
66,Gunjur,1140.0,2.0,3.0,43.0,2.0,3771.93
67,Marathahalli,1220.0,2.0,1.0,57.0,2.0,4672.13
69,Kanakpura Road,1005.0,2.0,1.0,36.68,2.0,3649.75
71,Begur Road,1358.0,2.0,1.0,80.58,2.0,5933.73
72,Hegde Nagar,1569.0,3.0,1.0,101.0,3.0,6437.22
73,Haralur Road,1240.0,2.0,1.0,70.0,2.0,5645.16
74,Hennur Road,2089.0,3.0,2.0,140.0,3.0,6701.77
75,Kothannur,1206.0,2.0,1.0,48.23,2.0,3999.17
76,Kalena Agrahara,1150.0,2.0,3.0,40.0,2.0,3478.26
78,Kaval Byrasandra,460.0,1.0,0.0,22.0,2.0,4782.61
80,Other,1660.0,2.0,2.0,105.0,3.0,6325.3
82,Yelahanka,1326.0,2.0,2.0,78.0,2.0,5882.35
83,Garudachar Palya,1325.0,2.0,2.0,60.8,3.0,4588.68
86,Kanakpura Road,1665.0,3.0,2.0,88.0,3.0,5285.29
87,Dasanapura,708.0,2.0,2.0,37.0,2.0,5225.99
88,Kasavanhalli,1060.0,2.0,2.0,58.06,2.0,5477.36
90,Sanjay nagar,1000.0,2.0,2.0,70.0,2.0,7000.0
91,Electronic City,1000.0,2.0,1.0,28.88,2.0,2888.0
92,Other,1450.0,2.0,2.0,70.0,3.0,4827.59
94,Thanisandra,1296.0,2.0,3.0,80.0,2.0,6172.84
95,Domlur,1540.0,3.0,2.0,90.0,3.0,5844.16
97,Sarjapura - Attibele Road,1330.0,2.0,1.0,48.0,3.0,3609.02
98,Other,1200.0,2.0,1.0,65.0,2.0,5416.67
99,Other,1200.0,3.0,1.0,90.0,3.0,7500.0
101,Chandapura,650.0,1.0,1.0,17.0,2.0,2615.38
103,Other,1007.0,2.0,2.0,43.0,2.0,4270.11
104,Other,1200.0,2.0,2.0,50.0,2.0,4166.67
105,Other,966.0,2.0,2.0,49.9,2.0,5165.63
106,Nagarbhavi,1630.0,2.0,1.0,98.0,3.0,6012.27
108,Other,782.0,2.0,2.0,55.68,2.0,7120.2
109,Devanahalli,1260.0,2.0,2.0,66.78,2.0,5300.0
110,Other,1800.0,3.0,3.0,120.0,3.0,6666.67
111,Other,1413.0,2.0,2.0,75.0,3.0,5307.86
112,Whitefield,1116.0,2.0,1.0,51.91,2.0,4651.43
113,Electronic City,1530.0,2.0,1.0,45.9,3.0,3000.0
116,Kengeri,1540.0,2.0,3.0,64.0,3.0,4155.84
117,Thanisandra,1436.0,3.0,1.0,74.75,3.0,5205.43
118,Malleshwaram,1100.0,2.0,2.0,75.0,2.0,6818.18
120,Thanisandra,1427.0,3.0,2.0,120.0,3.0,8409.25
121,Akshaya Nagar,2061.0,3.0,1.0,200.0,3.0,9704.03
124,Devanahalli,1282.0,2.0,2.0,68.52,3.0,5344.77
125,Kadugodi,1050.0,2.0,1.0,34.0,2.0,3238.1
126,Other,1600.0,3.0,2.0,65.0,3.0,4062.5
127,Other,945.0,2.0,1.0,54.0,2.0,5714.29
128,Hormavu,1500.0,2.0,1.0,78.0,2.0,5200.0
130,Other,1870.0,3.0,3.0,110.0,3.0,5882.35
131,Sarjapur,1600.0,3.0,1.0,75.0,3.0,4687.5
132,Electronic City,880.0,1.0,1.0,16.5,2.0,1875.0
134,Kudlu Gate,1535.0,3.0,2.0,83.0,3.0,5407.17
135,Kanakpura Road,950.0,2.0,1.0,57.0,2.0,6000.0
136,Devanahalli,1360.0,2.0,1.0,65.0,2.0,4779.41
137,8th Phase JP Nagar,1042.0,2.0,0.0,54.005,2.0,5182.82
138,Bommasandra Industrial Area,1280.0,3.0,1.0,50.4,3.0,3937.5
139,Other,1260.0,2.0,2.0,85.05,3.0,6750.0
142,Kasavanhalli,1563.05,3.0,1.0,105.0,3.0,6717.64
143,Other,1000.0,2.0,1.0,60.0,2.0,6000.0
144,Anandapura,1167.0,2.0,1.0,43.76,2.0,3749.79
146,Kothanur,1828.0,3.0,2.0,110.0,3.0,6017.51
147,Kengeri Satellite Town,890.0,2.0,1.0,35.0,2.0,3932.58
148,Other,1612.0,3.0,3.0,46.74,3.0,2899.5
150,Mysore Road,1710.0,4.0,2.0,91.31,3.0,5339.77
